0,1;3;7,31E-05
0,01;4;7,31E-06
0,001;5;1,31E-07
0,0001;5;1,31E-08
0,00001;5;1,31E-09
0,000001;6;2,37E-11
0,0000001;6;2,37E-12
0,00000001;7;5,70E-13
0,000000001;8;1,70E-14
1,00E-10;8;5,70E-15
;;
0,1;7;0,023621762
0,01;9;0,001134506
0,001;10;0,000248579
0,0001;12;1,19E-05
0,00001;13;2,61E-06
0,000001;15;1,26E-07
0,0000001;16;2,75E-08
0,00000001;18;1,32E-09
0,000000001;20;6,34E-11
1,00E-10;21;1,39E-11
;;
0,1;22;0,365460763
0,01;32;0,03983867
0,001;43;0,00336685
0,0001;53;0,000355127
0,00001;63;3,74E-05
0,000001;73;3,95E-06
0,0000001;84;3,32E-07
0,00000001;94;3,51E-08
0,000000001;104;3,70E-09
1,00E-10;114;3,90E-10
