0,1;4;0,01700544;;3;0,072982469
0,01;8;0,004119768;;7;0,000822313
0,001;11;0,000482073;;10;0,000128465
0,0001;14;2,74E-05;;13;4,17E-05
0,00001;18;1,06E-06;;17;3,79E-06
0,000001;21;3,48E-07;;20;4,02E-07
0,0000001;24;8,13E-08;;23;2,17E-08
0,00000001;28;1,94E-09;;27;4,77E-09
0,000000001;31;1,40E-10;;30;1,43E-10
1,00E-10;34;5,35E-11;;33;6,00E-11
;;;;;
0,1;3;0,026490498;;3;0,016189394
0,01;6;0,003052998;;7;0,001388731
0,001;9;0,000123311;;10;0,000656309
0,0001;13;5,98E-05;;13;1,54E-05
0,00001;16;6,39E-06;;17;1,73E-06
0,000001;19;2,87E-07;;20;4,19E-07
0,0000001;23;1,13E-08;;23;2,78E-08
0,00000001;26;3,81E-09;;27;1,42E-09
0,000000001;29;8,51E-10;;30;5,56E-10
1,00E-10;33;2,21E-11;;33;5,51E-11
;;;;;
0,1;1;0,026535567;;1;0,04045406
0,01;2;0,000468213;;2;0,000173957
0,001;2;4,68E-05;;2;1,73957E-05
0,0001;3;1,49E-07;;3;2,95E-06
0,00001;3;1,49E-09;;3;2,95E-09
0,000001;3;1,49E-11;;3;2,95E-11
0,0000001;4;1,70E-13;;3;2,95E-13
0,00000001;4;1,70E-14;;3;2,95E-14
0,000000001;4;1,70E-14;;4;2,95E-14
1,00E-10;4;1,70E-14;;4;2,95E-14
;;;;;
0,1;1;0,038736113;;1;0,010828789
0,01;2;0,001474239;;2;4,17E-04
0,001;3;2,21E-05;;2;4,17E-06
0,0001;3;2,21E-07;;2;4,17E-07
0,00001;3;2,21E-08;;2;4,17E-08
0,000001;4;4,99E-10;;3;6,26E-11
0,0000001;4;4,99E-12;;3;6,26E-13
0,00000001;4;4,99E-12;;3;6,26E-13
0,000000001;4;4,99E-12;;3;6,26E-13
1,00E-10;4;4,99E-12;;3;6,26E-13
